time (s),Pressure (psi),Rate (bpm)
0,4614.27,0
1,4615.25,0.02
2,4618.33,0.11
3,4622.06,0.14
4,4627.37,0.29
5,4649.49,0.86
6,4655.19,0.9
7,4664.44,1
8,4670.75,1.04
9,4711.25,1.12
10,4720.01,1.21
11,4751.84,1.27
12,4801.68,1.37
13,4844.21,1.43
14,4852.18,1.48
15,4880.06,1.54
16,4888.7,1.61
17,4943.83,1.66
18,4967,1.74
19,5010.75,1.8
20,5062.39,1.84
21,5111.38,1.87
22,5123.98,1.91
23,5172.55,1.94
24,5190.72,1.97
25,5252.92,1.99
26,5286.82,2.02
27,5328.77,2.04
28,5406.82,2.07
29,5437.43,2.09
30,5470.54,2.11
31,5519.06,2.13
32,5559.15,2.15
33,5618.84,2.17
34,5652.15,2.19
35,5702,2.2
36,5751.56,2.22
37,5784.7,2.23
38,5841.06,2.25
39,5869.7,2.27
40,5914.8,2.28
41,5967.9,2.3
42,6016.6,2.31
43,6071.54,2.32
44,6121.88,2.34
45,6159.76,2.35
46,6201.79,2.36
47,6250.58,2.38
48,6318.48,2.39
49,6388.02,2.64
50,6447.67,2.76
51,6505.94,2.77
52,6561.97,2.8
53,6590.44,2.82
54,6644.44,2.84
55,6704.79,2.86
56,6761.04,2.87
57,6837.18,2.88
58,6906.35,2.89
59,6958.31,2.9
60,7015.8,2.91
61,7059.02,2.92
62,7123.08,2.92
63,7172.26,2.93
64,7228.3,2.93
65,7308.51,2.93
66,7376.23,2.93
67,7433.77,2.94
68,7485.97,2.94
69,7548.14,2.94
70,7603.03,2.94
71,7667.04,2.94
72,7727.54,2.94
73,7791.73,2.94
74,7852.19,2.94
75,7915.96,2.94
76,7973.53,2.94
77,8032.33,2.94
78,8082.84,2.94
79,8125.88,2.94
80,8188.62,2.94
81,8256.23,2.93
82,8309.24,2.93
83,8359.54,2.93
84,8413.3,2.93
85,8461.42,2.93
86,8511.72,2.93
87,8565.56,2.93
88,8584.16,2.93
89,8580.89,2.93
90,8524.93,2.94
91,8378.11,2.94
92,8213.04,2.95
93,8084.51,2.96
94,7990.24,2.96
95,7894.59,2.96
96,7800.42,2.96
97,7719.83,2.97
98,7657.95,2.96
99,7622.04,2.97
100,7581.58,2.97
101,7558.84,2.96
102,7551.04,2.97
103,7537.99,2.97
104,7520.3,2.97
105,7506.28,2.96
106,7493.77,2.97
107,7487.27,2.97
108,7476.97,2.96
109,7470.84,2.97
110,7464,2.96
111,7459.12,2.97
112,7450.12,2.96
113,7445.62,2.97
114,7442.76,2.97
115,7439.02,2.97
116,7434,2.97
117,7429.41,2.97
118,7426.18,2.97
119,7424.22,2.98
120,7423.11,3.01
121,7421.92,2.99
122,7420.14,3.21
123,7435.17,3.79
124,7453.26,4
125,7453.39,3.76
126,7462.06,3.6
127,7518.37,4.23
128,7560.08,4.5
129,7564.13,4.51
130,7567.63,4.54
131,7582.4,4.56
132,7606.41,4.58
133,7615.95,4.59
134,7618.41,4.59
135,7628.63,4.64
136,7643.6,4.99
137,7650.41,4.47
138,7626.79,3.84
139,7627.67,4.92
140,7746,5.73
141,7814.43,6.15
142,7838.18,6.17
143,7843.18,6.19
144,7860.72,6.24
145,7878.94,6.27
146,7885.63,6.29
147,7895.32,6.31
148,7901.2,6.32
149,7906.24,6.33
150,7917.07,6.34
